,mda8,site_name,date,lat,long,ndvi,elev,dist2road,road_length,tmax,rhmax,pmax,apr_dummy,may_dummy,jun_dummy,jul_dummy,aug_dummy,sep_dummy,oct_dummy,yr_2018_dummy,yr_2019_dummy,yr_2020_dummy,yr_2021_dummy,yr_2022_dummy
81,47.23151613,Aurora East,Jul.2019,4387726.552,536954.6079,0.193965286,1793.14,11202.39,0,304.7870467,70.2088585,2.102520111,0,0,0,1,0,0,0,0,1,0,0,0
82,45.10003333,Boulder Reservoir,Jul.2019,4435551.592,481219.7574,0.167513356,1593.88,544.8,0,305.0300508,71.46320084,1.570026418,0,0,0,1,0,0,0,0,1,0,0,0
83,42.3392,Denver - Camp,Jul.2019,4400141.744,501060.1503,0.088950619,1609.04,1174.89,0,306.0507416,67.64000471,2.238107074,0,0,0,1,0,0,0,0,1,0,0,0
84,48.4723871,Highland Reservoir,Jul.2019,4379799.569,503676.9207,0.130471036,1746.35,280.62,3251.268031,304.9140738,68.42877198,1.751540592,0,0,0,1,0,0,0,0,1,0,0,0
85,41.47086207,La Casa,Jul.2019,4403283.245,499556.4178,0.218206942,1609.04,413,1231.818499,306.0507416,67.64000471,2.238107074,0,0,0,1,0,0,0,0,1,0,0,0
86,50.28464516,National Renewable Energy Labs - Nrel,Jul.2019,4399328.864,484750.2631,0.208784014,1766.56,1430.77,0,303.4457245,68.45447885,2.312361493,0,0,0,1,0,0,0,0,1,0,0,0
87,50.18590323,Rocky Flats-N,Jul.2019,4418095.854,483881.8071,0.195075735,1728.49,68.83,2405.231232,304.3224697,64.90188781,1.979531954,0,0,0,1,0,0,0,0,1,0,0,0
88,36.6186129,Welby,Jul.2019,4409791.466,504291.7362,0.219603702,1592.47,818.31,0,306.3254339,69.07368305,2.15360291,0,0,0,1,0,0,0,0,1,0,0,0
89,49.84025806,Aurora East,Aug.2019,4387726.552,536954.6079,0.193965286,1793.14,11202.39,0,304.4369202,68.68283325,0.847708028,0,0,0,0,1,0,0,0,1,0,0,0
90,46.66983871,Boulder Reservoir,Aug.2019,4435551.592,481219.7574,0.167513356,1593.88,544.8,0,305.0246598,68.25985062,0.491744216,0,0,0,0,1,0,0,0,1,0,0,0
91,44.2433871,Denver - Camp,Aug.2019,4400141.744,501060.1503,0.088950619,1609.04,1174.89,0,305.965166,64.33141573,0.579315737,0,0,0,0,1,0,0,0,1,0,0,0
92,51.47058065,Highland Reservoir,Aug.2019,4379799.569,503676.9207,0.130471036,1746.35,280.62,3251.268031,304.5533046,63.83321586,0.698660179,0,0,0,0,1,0,0,0,1,0,0,0
93,42.5103871,La Casa,Aug.2019,4403283.245,499556.4178,0.218206942,1609.04,413,1231.818499,305.965166,64.33141573,0.579315737,0,0,0,0,1,0,0,0,1,0,0,0
94,51.94503226,National Renewable Energy Labs - Nrel,Aug.2019,4399328.864,484750.2631,0.208784014,1766.56,1430.77,0,303.3537081,64.50535265,0.419617719,0,0,0,0,1,0,0,0,1,0,0,0
95,52.29606452,Rocky Flats-N,Aug.2019,4418095.854,483881.8071,0.195075735,1728.49,68.83,2405.231232,304.2407521,62.05022845,0.334440889,0,0,0,0,1,0,0,0,1,0,0,0
96,38.88641379,Welby,Aug.2019,4409791.466,504291.7362,0.219603702,1592.47,818.31,0,305.880314,65.27623293,0.096464644,0,0,0,0,1,0,0,0,1,0,0,0
97,44.0182069,Aurora East,Sep.2019,4387726.552,536954.6079,0.193965286,1793.14,11202.39,0,301.9723396,62.74700747,0.918616378,0,0,0,0,0,1,0,0,1,0,0,0
98,41.79713793,Boulder Reservoir,Sep.2019,4435551.592,481219.7574,0.167513356,1593.88,544.8,0,301.8240922,60.66054097,0.654168399,0,0,0,0,0,1,0,0,1,0,0,0
99,34.86274074,Denver - Camp,Sep.2019,4400141.744,501060.1503,0.088950619,1609.04,1174.89,0,302.3877682,61.74891164,0.516019456,0,0,0,0,0,1,0,0,1,0,0,0
100,43.88441379,Highland Reservoir,Sep.2019,4379799.569,503676.9207,0.130471036,1746.35,280.62,3251.268031,301.9434762,57.05843843,1.267813895,0,0,0,0,0,1,0,0,1,0,0,0
101,34.0765,La Casa,Sep.2019,4403283.245,499556.4178,0.218206942,1609.04,413,1231.818499,302.3877682,61.74891164,0.516019456,0,0,0,0,0,1,0,0,1,0,0,0
102,46.23517241,National Renewable Energy Labs - Nrel,Sep.2019,4399328.864,484750.2631,0.208784014,1766.56,1430.77,0,300.2670514,58.34197691,0.559816712,0,0,0,0,0,1,0,0,1,0,0,0
103,48.2594,Rocky Flats-N,Sep.2019,4418095.854,483881.8071,0.195075735,1728.49,68.83,2405.231232,300.9796222,54.36926378,0.396448883,0,0,0,0,0,1,0,0,1,0,0,0
104,31.92533333,Welby,Sep.2019,4409791.466,504291.7362,0.219603702,1592.47,818.31,0,302.7299734,60.9436676,0.504020379,0,0,0,0,0,1,0,0,1,0,0,0
105,36.47441935,Aurora East,Oct.2019,4387726.552,536954.6079,0.193965286,1793.14,11202.39,0,287.3865594,67.5000578,1.092889415,0,0,0,0,0,0,1,0,1,0,0,0
106,30.6451,Boulder Reservoir,Oct.2019,4435551.592,481219.7574,0.167513356,1593.88,544.8,0,287.795461,67.26905156,1.330766662,0,0,0,0,0,0,1,0,1,0,0,0
107,23.14316667,Denver - Camp,Oct.2019,4400141.744,501060.1503,0.088950619,1609.04,1174.89,0,288.3157396,67.14705382,1.325842194,0,0,0,0,0,0,1,0,1,0,0,0
108,32.64141935,Highland Reservoir,Oct.2019,4379799.569,503676.9207,0.130471036,1746.35,280.62,3251.268031,287.6600703,66.43452638,1.193927434,0,0,0,0,0,0,1,0,1,0,0,0
109,21.15592857,La Casa,Oct.2019,4403283.245,499556.4178,0.218206942,1609.04,413,1231.818499,288.3157396,67.14705382,1.325842194,0,0,0,0,0,0,1,0,1,0,0,0
110,34.14235484,National Renewable Energy Labs - Nrel,Oct.2019,4399328.864,484750.2631,0.208784014,1766.56,1430.77,0,286.5404419,63.82948245,1.603259654,0,0,0,0,0,0,1,0,1,0,0,0
111,36.76670968,Rocky Flats-N,Oct.2019,4418095.854,483881.8071,0.195075735,1728.49,68.83,2405.231232,286.9433223,60.83138002,1.196852498,0,0,0,0,0,0,1,0,1,0,0,0
112,21.39036667,Welby,Oct.2019,4409791.466,504291.7362,0.219603702,1592.47,818.31,0,288.3344831,67.33368083,1.179001719,0,0,0,0,0,0,1,0,1,0,0,0
113,43.68758621,Aurora East,Apr.2020,4387726.552,536954.6079,0.123550385,1793.14,11202.39,0,288.6656415,68.46987629,0.524277215,1,0,0,0,0,0,0,0,0,1,0,0
114,42.57246154,Boulder Reservoir,Apr.2020,4435551.592,481219.7574,0.161106437,1593.88,544.8,0,289.222066,69.98544807,1.867186922,1,0,0,0,0,0,0,0,0,1,0,0
115,35.50503448,Denver - Camp,Apr.2020,4400141.744,501060.1503,0.07518246,1609.04,1174.89,0,290.0711816,68.83393156,1.011192145,1,0,0,0,0,0,0,0,0,1,0,0
116,44.27843333,Highland Reservoir,Apr.2020,4379799.569,503676.9207,0.105289802,1746.35,280.62,3251.268031,288.8576427,70.10309006,0.922561206,1,0,0,0,0,0,0,0,0,1,0,0
117,36.37263333,La Casa,Apr.2020,4403283.245,499556.4178,0.232037947,1609.04,413,1231.818499,290.0711816,68.83393156,1.011192145,1,0,0,0,0,0,0,0,0,1,0,0
118,42.91210345,National Renewable Energy Labs - Nrel,Apr.2020,4399328.864,484750.2631,0.167736664,1766.56,1430.77,0,288.1353938,68.50265358,1.340959912,1,0,0,0,0,0,0,0,0,1,0,0
119,46.99193103,Rocky Flats-N,Apr.2020,4418095.854,483881.8071,0.170526564,1728.49,68.83,2405.231232,288.4099228,65.8746345,1.856889074,1,0,0,0,0,0,0,0,0,1,0,0
120,35.8412,Welby,Apr.2020,4409791.466,504291.7362,0.174323767,1592.47,818.31,0,290.051536,68.75984636,1.159420955,1,0,0,0,0,0,0,0,0,1,0,0
121,43.44596774,Aurora East,May.2020,4387726.552,536954.6079,0.123550385,1793.14,11202.39,0,296.2989988,75.73157051,1.939769882,0,1,0,0,0,0,0,0,0,1,0,0
122,42.62385714,Boulder Reservoir,May.2020,4435551.592,481219.7574,0.161106437,1593.88,544.8,0,296.4109999,76.77817488,1.425665749,0,1,0,0,0,0,0,0,0,1,0,0
123,37.67922581,Denver - Camp,May.2020,4400141.744,501060.1503,0.07518246,1609.04,1174.89,0,297.2177842,74.46961256,1.321130315,0,1,0,0,0,0,0,0,0,1,0,0
124,45.74241935,Highland Reservoir,May.2020,4379799.569,503676.9207,0.105289802,1746.35,280.62,3251.268031,296.5962606,72.39120505,1.027167441,0,1,0,0,0,0,0,0,0,1,0,0
125,39.15617241,La Casa,May.2020,4403283.245,499556.4178,0.232037947,1609.04,413,1231.818499,297.2177842,74.46961256,1.321130315,0,1,0,0,0,0,0,0,0,1,0,0
126,47.21963333,National Renewable Energy Labs - Nrel,May.2020,4399328.864,484750.2631,0.167736664,1766.56,1430.77,0,295.2370169,71.80115878,1.485464932,0,1,0,0,0,0,0,0,0,1,0,0
127,45.82163333,Rocky Flats-N,May.2020,4418095.854,483881.8071,0.170526564,1728.49,68.83,2405.231232,295.6526545,72.78330483,1.344517363,0,1,0,0,0,0,0,0,0,1,0,0
128,39.69885185,Welby,May.2020,4409791.466,504291.7362,0.174323767,1592.47,818.31,0,297.097365,74.01374852,1.15346668,0,1,0,0,0,0,0,0,0,1,0,0
129,45.8706,Aurora East,Jun.2020,4387726.552,536954.6079,0.123550385,1793.14,11202.39,0,302.6897874,57.67899027,0.892371783,0,0,1,0,0,0,0,0,0,1,0,0
130,44.00843333,Boulder Reservoir,Jun.2020,4435551.592,481219.7574,0.161106437,1593.88,544.8,0,303.4048587,58.65727391,1.945012182,0,0,1,0,0,0,0,0,0,1,0,0
131,38.68768966,Denver - Camp,Jun.2020,4400141.744,501060.1503,0.07518246,1609.04,1174.89,0,304.2025963,59.47005041,1.319376273,0,0,1,0,0,0,0,0,0,1,0,0
132,46.65096667,Highland Reservoir,Jun.2020,4379799.569,503676.9207,0.105289802,1746.35,280.62,3251.268031,302.6044857,59.11924302,0.768018808,0,0,1,0,0,0,0,0,0,1,0,0
133,42.23525,La Casa,Jun.2020,4403283.245,499556.4178,0.232037947,1609.04,413,1231.818499,304.2025963,59.47005041,1.319376273,0,0,1,0,0,0,0,0,0,1,0,0
134,48.85293333,National Renewable Energy Labs - Nrel,Jun.2020,4399328.864,484750.2631,0.167736664,1766.56,1430.77,0,301.8522064,59.17806589,1.340963501,0,0,1,0,0,0,0,0,0,1,0,0
135,49.42084615,Rocky Flats-N,Jun.2020,4418095.854,483881.8071,0.170526564,1728.49,68.83,2405.231232,302.5327968,55.92869232,1.538769366,0,0,1,0,0,0,0,0,0,1,0,0
136,39.61335714,Welby,Jun.2020,4409791.466,504291.7362,0.174323767,1592.47,818.31,0,304.4932226,58.7910773,1.070456184,0,0,1,0,0,0,0,0,0,1,0,0
137,46.22943333,Aurora East,Jul.2020,4387726.552,536954.6079,0.123550385,1793.14,11202.39,0,304.9456522,64.7219605,1.367401443,0,0,0,1,0,0,0,0,0,1,0,0
138,45.94503226,Boulder Reservoir,Jul.2020,4435551.592,481219.7574,0.161106437,1593.88,544.8,0,305.5520489,65.33676644,0.473691919,0,0,0,1,0,0,0,0,0,1,0,0
139,42.28003448,Denver - Camp,Jul.2020,4400141.744,501060.1503,0.07518246,1609.04,1174.89,0,306.2606793,60.60201265,0.496401107,0,0,0,1,0,0,0,0,0,1,0,0
140,48.25003571,Highland Reservoir,Jul.2020,4379799.569,503676.9207,0.105289802,1746.35,280.62,3251.268031,304.736485,61.30877882,0.428920755,0,0,0,1,0,0,0,0,0,1,0,0
